66494,0.0
116433,0.0
166490,0.0
216549,0.0
266613,0.0
316133,0.0
366482,0.0
416604,658.3804
466139,969.0314
516229,1317.681
566315,1517.39
616408,1616.992
666498,1676.981
716464,1681.177
766564,1716.601
816114,1715.508
866215,1716.567
916318,1696.505
966424,1696.404
1016443,1719.347
1066553,1696.302
1116118,1715.024
1166234,1696.099
1216352,1715.916
1266471,1735.869
1316468,1720.138
1366593,1735.695
1416170,1734.71
1466298,1735.626
1516430,1755.331
1566562,1755.401
1616567,1759.859
1666152,1754.634
1716292,1755.086
1766432,1755.086
1816578,1754.911
1866174,1734.081
1916194,1739.304
1966347,1734.726
2016540,1753.198
2066146,1753.926
2116303,1754.491
2166464,1754.351
2216498,1738.818
2266663,1754.246
2316283,1773.586
2366450,1754.106
2416621,1754.001
2466245,1753.29
2516293,1758.312
2566471,1753.757
2616652,1753.687
2666285,1732.788
2716471,1733.517
2766657,1733.586
2816169,1757.221
2866362,1753.267
