55536,0.0
105618,0.0
155705,0.0
205790,0.0
255879,0.0
305420,0.0
355395,0.0
405602,0.0
455507,1042.021
505617,1776.057
555735,2075.144
605851,2414.447
655841,2620.576
705407,2764.047
755574,2790.679
805696,2872.99
855822,2872.818
905400,2904.631
955403,2899.884
1005538,2932.083
1055676,2931.908
1105815,2931.908
1155407,2944.142
1205548,2951.676
1255561,2959.231
1305708,2971.383
1355859,2951.088
1405460,2943.608
1455615,2950.793
1505769,2950.97
1555798,2958.343
1605410,2922.739
1655572,2970.376
1705740,2970.08
1755905,2970.258
1805562,2980.446
1855605,2997.482
1905777,2949.911
1955403,2982.428
2005582,2969.37
2055762,2949.382
2105396,2961.859
2155451,2976.726
2205640,2948.853
2255831,2968.66
2305472,3001.672
2355668,2928.462
2405866,2968.305
2455384,2948.542
2505585,2948.148
2555787,2928.229
2605441,2940.466
2655647,2947.796
2705858,2947.62
2755389,2947.768
2805645,2944.863
2855862,2947.268
